ValidTime,gep1,gep2,gep3,gep4,gep5,gep6,gep7,gep8,gep9,gep10,gep11,gep12,gep13,gep14,gep15,gep16,gep17,gep18,gep19,gep20
2017-10-04 00:00:00,86.0899963379,87.7099914551,83.9299621582,86.2699890137,85.7299499512,87.7099914551,74.2099914551,86.990020752,85.5499572754,87.5299987793,77.809967041,86.5220031738,79.7900085449,84.4700012207,82.8499450684,83.3899841309,87.5299987793,85.7299499512,86.2699890137,86.809967041
2017-10-04 06:00:00,77.3239440918,82.1299743652,80.8879699707,81.2299499512,80.8700256348,81.9499816895,68.6299743652,81.7699890137,81.2659606934,81.7699890137,70.0699768066,81.427947998,73.1299743652,78.1700134277,80.0419616699,76.1899719238,81.9499816895,79.5559997559,81.7699890137,80.509979248
2017-10-04 12:00:00,69.0979309082,74.3899841309,75.2900085449,74.2099914551,74.2099914551,76.9100036621,61.609954834,75.6499328613,74.5159606934,73.6700134277,62.509979248,75.1819152832,63.0679626465,69.8899841309,74.0839538574,67.1899719238,75.6499328613,73.2739562988,77.0719909668,72.5899963379
2017-10-04 18:00:00,78.3499450684,83.3899841309,83.5699768066,83.5699768066,82.8499450684,82.6700134277,77.2699890137,84.109954834,83.0299987793,82.8499450684,80.6899719238,84.8299865723,74.2099914551,80.509979248,82.490020752,81.9499816895,85.009979248,82.3819274902,83.7499694824,81.2299499512
2017-10-05 00:00:00,82.5439147949,86.0899963379,87.1700134277,85.009979248,86.4499816895,84.2900085449,79.7900085449,87.7099914551,85.9100036621,86.809967041,86.4499816895,88.2139587402,77.6299743652,84.8299865723,85.9100036621,86.809967041,87.8899841309,85.1899108887,86.4499816895,85.1899719238
2017-10-05 06:00:00,79.0339660645,80.8700256348,81.4100036621,80.3659362793,79.9700012207,79.7900085449,69.1700134277,81.2479553223,81.0679626465,80.509979248,81.4100036621,83.3899230957,70.9700012207,78.2959899902,79.8979187012,82.1299743652,81.7699890137,79.9159240723,81.7699890137,77.9359436035
2017-10-05 12:00:00,73.525970459,74.0299987793,74.5699768066,77.1619567871,70.7900085449,72.9499816895,65.5699768066,74.3899841309,74.6600036621,74.2099914551,74.3899841309,76.1719665527,63.9859313965,71.527923584,71.6899108887,76.3700256348,74.5699768066,71.8339538574,75.2900085449,70.9699401855
2017-10-05 18:00:00,84.109954834,83.3899841309,83.7499694824,83.2099914551,80.3299865723,81.5899963379,79.7900085449,83.3899841309,83.2099914551,83.2099914551,83.0299987793,82.1299743652,76.1899719238,83.0659484863,80.8700256348,85.5499572754,83.5699768066,80.3839416504,81.4100036621,82.6700134277
2017-10-06 00:00:00,86.1979064941,85.7299499512,87.5299987793,86.990020752,84.4700012207,83.7499694824,83.2099914551,86.809967041,86.6299743652,87.1700134277,84.109954834,86.0179748535,80.3299865723,85.3700256348,84.5239562988,86.809967041,87.1700134277,84.1639709473,85.5499572754,85.9100036621
2017-10-06 06:00:00,82.075958252,80.3299865723,80.4199523926,83.2099914551,78.5299987793,78.8899841309,72.0499572754,80.059967041,82.741973877,81.0499572754,80.3299865723,81.2299499512,73.7239685059,79.7900085449,79.6819152832,82.8499450684,80.6899719238,77.8819274902,80.3299865723,78.925994873
